seat_no,prn,centre,total_gradepoints,sgpi,status,year_of_admission,clg_id,gender,cgpa,marks_in_phy,marks_in_chem,marks_inmaths
5016688,2.02E+15,Thane,176,8,Successful ,2020,174,F,8,50,48,40
5016689,2.02E+15,Thane,174,7.91,Successful ,2019,174,M,7.91,49,48,39
5016690,2.02E+15,Thane,198,9,Successful ,2019,174,M,9,49,45,44
5016691,2.02E+15,Thane,169,7.68,Successful ,2019,174,M,7.68,38,49,40
5016692,2.02E+15,Thane,205,9.32,Successful ,2019,174,F,9.32,36,45,35
5016693,2.02E+15,Thane,196,8.91,Successful ,2019,174,M,8.91,41,49,41
5016694,2.02E+15,Thane,169,7.68,Successful ,2019,174,F,7.68,39,45,37
5016695,2.02E+15,Thane,202,9.18,Successful ,2019,174,M,9.18,42,47,44
5016696,2.02E+15,Thane,187,8.5,Successful ,2019,174,F,8.5,45,47,44
5016697,2.02E+15,Thane,187,8.5,Successful ,2019,174,M,8.5,35,46,50
5016698,2.02E+15,Thane,184,8.36,Successful ,2019,174,M,8.36,45,46,47
5016699,2.02E+15,Thane,196,8.91,Successful ,2019,174,M,8.91,38,49,48
5016700,2.02E+15,Thane,172,7.82,Successful ,2019,174,M,7.82,45,50,37
5016701,2.02E+15,Thane,189,8.59,Successful ,2020,174,M,8.59,35,46,46
5016702,2.02E+15,Thane,181,8.23,Successful ,2019,174,M,8.23,44,50,44
5016703,2.02E+15,Thane,169,7.68,Successful ,2019,174,M,7.68,36,48,48
5016704,2.02E+15,Thane,166,7.55,Successful ,2019,174,M,7.55,48,45,42
5016705,2.02E+15,Thane,183,8.32,Successful ,2019,174,M,8.32,45,49,45
5016706,2.02E+15,Thane,187,8.5,Successful ,2020,174,M,8.5,46,50,40
5016707,2.02E+15,Thane,196,8.91,Successful ,2019,174,F,8.91,50,46,36
5016708,2.02E+15,Thane,175,7.95,Successful ,2019,174,M,7.95,37,47,41
5016709,2.02E+15,Thane,142,6.45,Successful ,2019,174,F,6.45,49,46,45
5016710,2.02E+15,Thane,175,7.95,Successful ,2019,174,M,7.95,46,47,49
5016711,2.02E+15,Thane,169,7.68,Successful ,2019,174,M,7.68,40,45,46
5016712,2.02E+15,Thane,193,8.77,Successful ,2019,174,F,8.77,38,48,43
5016713,2.02E+15,Thane,193,8.77,Successful ,2019,174,F,8.77,48,49,50
5016714,2.02E+15,Thane,172,7.82,Successful ,2019,174,M,7.82,40,50,43
5016715,2.02E+15,Thane,181,8.23,Successful ,2019,174,M,8.23,35,46,49
5016716,2.02E+15,Thane,169,7.68,Successful ,2019,174,M,7.68,38,45,35
5016717,2.02E+15,Thane,196,8.91,Successful ,2019,174,M,8.91,35,48,45
5016718,2.02E+15,Thane,190,8.64,Successful ,2019,174,M,8.64,48,50,44
5016719,2.02E+15,Thane,169,7.68,Successful ,2019,174,M,7.68,41,46,46
5016720,2.02E+15,Thane,182,8.27,Successful ,2019,174,M,8.27,44,45,43
5016721,2.02E+15,Thane,158,7.18,Successful ,2019,174,F,7.18,48,49,46
5016722,2.02E+15,Thane,178,8.09,Successful ,2020,174,M,8.09,38,48,48
5016723,2.02E+15,Thane,182,8.27,Successful ,2019,174,F,8.27,44,47,50
5016724,2.02E+15,Thane,190,8.64,Successful ,2019,174,F,8.64,37,47,37
5016725,2.02E+15,Thane,168,7.64,Successful ,2019,174,F,7.64,49,45,48
5016726,2.02E+15,Thane,199,9.05,Successful ,2019,174,M,9.05,49,48,42
5016727,2.02E+15,Thane,175,7.95,Successful ,2019,174,F,7.95,44,47,49
5016728,2.02E+15,Thane,149,6.77,Successful ,2019,174,M,6.77,50,49,50
5016729,2.02E+15,Thane,166,7.55,Successful ,2020,174,M,7.55,41,45,40
5016730,2.02E+15,Thane,160,7.27,Successful ,2019,174,M,7.27,43,49,49
5016731,2.02E+15,Thane,187,8.5,Successful ,2019,174,M,8.5,35,48,35
5016732,2.02E+15,Thane,199,9.05,Successful ,2019,174,F,9.05,49,50,40
5016733,2.02E+15,Thane,186,8.45,Successful ,2019,174,F,8.45,42,48,35
5016734,2.02E+15,Thane,187,8.5,Successful ,2019,174,M,8.5,40,45,45
5016735,2.02E+15,Thane,166,7.55,Successful ,2019,174,M,7.55,37,46,46
5016736,2.02E+15,Thane,217,9.86,Successful ,2019,174,M,9.86,47,45,50
5016737,2.02E+15,Thane,193,8.77,Successful ,2019,174,F,8.77,43,48,38
5016738,2.02E+15,Thane,171,7.77,Successful ,2020,174,F,7.77,49,45,50
5016739,2.02E+15,Thane,193,8.77,Successful ,2019,174,M,8.77,44,46,43
5016740,2.02E+15,Thane,187,8.5,Successful ,2019,174,F,8.5,45,46,48
5016741,2.02E+15,Thane,154,7,Successful ,2019,174,M,7,39,49,38
5016742,2.02E+15,Thane,205,9.32,Successful ,2019,174,F,9.32,36,50,37
5016743,2.02E+15,Thane,217,9.86,Successful ,2019,174,F,9.86,50,48,45
5016744,2.02E+15,Thane,168,7.64,Successful ,2019,174,M,7.64,35,45,42
5016745,2.02E+15,Thane,184,8.36,Successful ,2019,174,F,8.36,38,45,37
5016746,2.02E+15,Thane,196,8.91,Successful ,2019,174,M,8.91,47,48,43
5016747,2.02E+15,Thane,195,8.86,Successful ,2019,174,M,8.86,49,47,37
5016748,2.02E+15,Thane,190,8.64,Successful ,2019,174,F,8.64,42,49,45
5016749,2.02E+15,Thane,151,6.86,Successful ,2019,174,M,6.86,48,45,37
5016750,2.02E+15,Thane,178,8.09,Successful ,2019,174,F,8.09,44,47,45
5016751,2.02E+15,Thane,190,8.64,Successful ,2020,174,F,8.64,38,45,49
5016752,2.02E+15,Thane,184,8.36,Successful ,2019,174,M,8.36,43,49,43
5016753,2.02E+15,Thane,0,0,Unsuccessful ,2019,174,M,0,35,48,39
5016754,2.02E+15,Thane,193,8.77,Successful ,2019,174,F,8.77,41,50,49
5016755,2.02E+15,Thane,150,6.82,Successful ,2019,174,M,6.82,49,46,50
5016756,2.02E+15,Thane,188,8.55,Successful ,2020,174,F,8.55,43,49,48
5016757,2.02E+15,Thane,184,8.36,Successful ,2019,174,F,8.36,43,50,46
5016758,2.02E+15,Thane,187,8.5,Successful ,2019,174,M,8.5,35,47,37
5016759,2.02E+15,Thane,196,8.91,Successful ,2019,174,F,8.91,41,48,45
5016760,2.02E+15,Thane,187,8.5,Successful ,2019,174,M,8.5,50,45,42
5016761,2.02E+15,Thane,154,7,Successful ,2019,174,M,7,38,48,43
5016762,2.02E+15,Thane,0,0,Unsuccessful ,2019,174,M,0,44,49,36
5016763,2.02E+15,Thane,196,8.91,Successful ,2019,174,F,8.91,49,50,37
5016764,2.02E+15,Thane,0,0,Unsuccessful ,2018,174,M,0,35,45,38
5016765,2.02E+15,Thane,187,8.5,Successful ,2019,174,M,8.5,42,50,49
5016766,2.02E+15,Thane,184,8.36,Successful ,2020,174,F,8.36,38,46,39
5016767,2.02E+15,Thane,205,9.32,Successful ,2020,174,F,9.32,48,47,35
5016768,2.02E+15,Thane,166,7.55,Successful ,2019,174,M,7.55,37,47,39
5016769,2.02E+15,Thane,190,8.64,Successful ,2019,174,F,8.64,37,46,38
5016770,2.02E+15,Thane,170,7.73,Successful ,2019,174,M,7.73,50,47,44
5016771,2.02E+15,Thane,190,8.64,Successful ,2020,174,F,8.64,41,48,48
5016772,2.02E+15,Thane,182,8.27,Successful ,2019,174,M,8.27,49,47,49
5016773,2.02E+15,Thane,146,6.64,Successful ,2019,174,F,6.64,50,50,48
5016774,2.02E+15,Thane,178,8.09,Successful ,2019,174,M,8.09,41,47,41
5016775,2.02E+15,Thane,158,7.18,Successful ,2019,174,M,7.18,48,46,43
5016776,2.02E+15,Thane,220,10,Successful ,2020,174,F,10,42,45,45
5016777,2.02E+15,Thane,178,8.09,Successful ,2019,174,M,8.09,36,45,40
5016778,2.02E+15,Thane,199,9.05,Successful ,2019,174,M,9.05,39,46,37
5016779,2.02E+15,Thane,190,8.64,Successful ,2020,174,F,8.64,35,50,45
5016780,2.02E+15,Thane,157,7.14,Successful ,2019,174,F,7.14,36,47,42
5016781,2.02E+15,Thane,181,8.23,Successful ,2019,174,F,8.23,41,49,35
5016782,2.02E+15,Thane,202,9.18,Successful ,2020,174,F,9.18,47,49,49
5016783,2.02E+15,Thane,171,7.77,Successful ,2019,174,M,7.77,44,47,43
5016784,2.02E+15,Thane,197,8.95,Successful ,2019,174,M,8.95,49,50,38
5016785,2.02E+15,Thane,167,7.59,Successful ,2019,174,M,7.59,38,48,43
5016786,2.02E+15,Thane,193,8.77,Successful ,2019,174,M,8.77,50,49,48
5016787,2.02E+15,Thane,181,8.23,Successful ,2019,174,M,8.23,38,47,35
5016788,2.02E+15,Thane,199,9.05,Successful ,2019,174,F,9.05,41,49,50
5016789,2.02E+15,Thane,193,8.77,Successful ,2019,174,M,8.77,43,48,37
5016790,2.02E+15,Thane,187,8.5,Successful ,2019,174,F,8.5,49,47,36
5016791,2.02E+15,Thane,154,7,Successful ,2019,174,M,7,45,46,41
5016792,2.02E+15,Thane,164,7.45,Successful ,2019,174,M,7.45,44,50,42
5016793,2.02E+15,Thane,177,8.05,Successful ,2019,174,M,8.05,44,48,41
5016794,2.02E+15,Thane,199,9.05,Successful ,2019,174,M,9.05,37,48,50
5016795,2.02E+15,Thane,173,7.86,Successful ,2019,174,M,7.86,36,49,44
5016796,2.02E+15,Thane,192,8.73,Successful ,2019,174,F,8.73,44,46,45
5016797,2.02E+15,Thane,187,8.5,Successful ,2019,174,M,8.5,49,46,49
5016798,2.02E+15,Thane,178,8.09,Successful ,2019,237,M,8.09,50,47,46
5016799,2.02E+15,Thane,176,8,Successful ,2019,237,M,8,42,46,44
5016800,2.02E+15,Thane,210,9.55,Successful ,2019,237,F,9.55,43,49,50
5016801,2.02E+15,Thane,179,8.14,Successful ,2019,237,M,8.14,48,48,39
5016802,2.02E+15,Thane,171,7.77,Successful ,2020,237,M,7.77,45,49,45
5016803,2.02E+15,Thane,0,0,Unsuccessful ,2017,237,F,0,36,46,37
5016804,2.02E+15,Thane,163,7.41,Successful ,2019,237,F,7.41,39,45,44
5016805,2.02E+15,Thane,172,7.82,Successful ,2019,237,M,7.82,42,47,42
5016806,2.02E+15,Thane,177,8.05,Successful ,2019,237,M,8.05,43,45,42
5016807,2.02E+15,Thane,178,8.09,Successful ,2019,237,M,8.09,38,47,46
5016808,2.02E+15,Thane,177,8.05,Successful ,2019,237,M,8.05,44,49,40
5016809,2.02E+15,Thane,181,8.23,Successful ,2019,237,M,8.23,45,48,45
5016810,2.02E+15,Thane,160,7.27,Successful ,2019,237,M,7.27,48,50,41
5016811,2.02E+15,Thane,187,8.5,Successful ,2019,237,M,8.5,50,46,41
5016812,2.02E+15,Thane,158,7.18,Successful ,2019,237,F,7.18,39,47,37
5016813,2.02E+15,Thane,0,0,Unsuccessful ,2019,237,M,0,48,45,45
5016814,2.02E+15,Thane,197,8.95,Successful ,2019,237,M,8.95,50,45,48
5016815,2.02E+15,Thane,170,7.73,Successful ,2019,237,M,7.73,42,45,40
5016816,2.02E+15,Thane,164,7.45,Successful ,2019,237,M,7.45,47,50,45
5016817,2.02E+15,Thane,158,7.18,Successful ,2019,237,M,7.18,40,50,47
5016818,2.02E+15,Thane,160,7.27,Successful ,2019,237,F,7.27,50,48,36
5016819,2.02E+15,Thane,168,7.64,Successful ,2019,237,F,7.64,41,47,42
5016820,2.02E+15,Thane,173,7.86,Successful ,2019,237,M,7.86,46,46,50
5016821,2.02E+15,Thane,176,8,Successful ,2019,237,M,8,46,45,43
5016822,2.02E+15,Thane,180,8.18,Successful ,2019,237,M,8.18,35,48,38
5016823,2.02E+15,Thane,187,8.5,Successful ,2019,237,F,8.5,35,50,45
5016824,2.02E+15,Thane,152,6.91,Successful ,2019,237,M,6.91,36,49,41
5016825,2.02E+15,Thane,0,0,Unsuccessful ,2019,237,M,0,36,49,40
5016826,2.02E+15,Thane,184,8.36,Successful ,2019,237,F,8.36,50,50,45
5016827,2.02E+15,Thane,172,7.82,Successful ,2019,237,F,7.82,48,49,37
5016828,2.02E+15,Thane,169,7.68,Successful ,2019,237,M,7.68,44,48,41
5016829,2.02E+15,Thane,169,7.68,Successful ,2019,237,M,7.68,39,45,45
5016830,2.02E+15,Thane,199,9.05,Successful ,2019,237,M,9.05,49,45,50
5016831,2.02E+15,Thane,199,9.05,Successful ,2019,237,F,9.05,48,49,42
5016832,2.02E+15,Thane,175,7.95,Successful ,2019,237,F,7.95,36,48,49
5016833,2.02E+15,Thane,170,7.73,Successful ,2019,237,F,7.73,41,47,50
5016834,2.02E+15,Thane,180,8.18,Successful ,2019,237,M,8.18,36,49,49
5016835,2.02E+15,Thane,181,8.23,Successful ,2019,237,M,8.23,38,45,50
5016836,2.02E+15,Thane,162,7.36,Successful ,2019,237,M,7.36,49,46,39
5016837,2.02E+15,Thane,185,8.41,Successful ,2019,237,M,8.41,38,48,40
5016838,2.02E+15,Thane,187,8.5,Successful ,2019,237,F,8.5,49,48,47
5016839,2.02E+15,Thane,172,7.82,Successful ,2019,237,M,7.82,41,47,38
5016840,2.02E+15,Thane,193,8.77,Successful ,2019,237,F,8.77,41,46,45
5016841,2.02E+15,Thane,160,7.27,Successful ,2020,237,M,7.27,35,48,44
5016842,2.02E+15,Thane,166,7.55,Successful ,2019,237,M,7.55,40,47,43
5016843,2.02E+15,Thane,178,8.09,Successful ,2019,237,F,8.09,46,50,38
5016844,2.02E+15,Thane,183,8.32,Successful ,2019,237,M,8.32,42,48,36
5016845,2.02E+15,Thane,199,9.05,Successful ,2019,237,M,9.05,39,49,36
5016846,2.02E+15,Thane,155,7.05,Successful ,2020,237,M,7.05,46,45,35
5016847,2.02E+15,Thane,0,0,Unsuccessful ,2019,237,M,0,50,48,37
5016848,2.02E+15,Thane,195,8.86,Successful ,2019,237,M,8.86,45,47,49
5016849,2.02E+15,Thane,201,9.14,Successful ,2019,237,F,9.14,38,46,40
5016850,2.02E+15,Thane,195,8.86,Successful ,2019,237,F,8.86,49,50,43
5016851,2.02E+15,Thane,180,8.18,Successful ,2019,237,M,8.18,43,49,41
5016852,2.02E+15,Thane,177,8.05,Successful ,2019,237,M,8.05,47,46,35
5016853,2.02E+15,Thane,161,7.32,Successful ,2019,237,M,7.32,35,49,47
5016854,2.02E+15,Thane,205,9.32,Successful ,2019,237,F,9.32,46,49,41
5016855,2.02E+15,Thane,156,7.09,Successful ,2020,237,M,7.09,44,48,35
5016856,2.02E+15,Thane,148,6.73,Successful ,2018,237,M,6.73,41,48,45
5016857,2.02E+15,Thane,196,8.91,Successful ,2019,237,M,8.91,39,48,46
5016858,2.02E+15,Thane,150,6.82,Successful ,2019,237,M,6.82,35,47,43
5016859,2.02E+15,Thane,0,0,Unsuccessful ,2018,237,F,0,46,49,44
5016860,2.02E+15,Thane,190,8.64,Successful ,2019,237,F,8.64,39,49,35
5016861,2.02E+15,Thane,153,6.95,Successful ,2019,237,M,6.95,48,45,49
5016862,2.02E+15,Thane,0,0,Unsuccessful ,2020,237,M,0,49,48,50
5016863,2.02E+15,Thane,167,7.59,Successful ,2019,237,F,7.59,36,49,47
5016864,2.02E+15,Thane,195,8.86,Successful ,2019,237,M,8.86,38,48,42
5016865,2.02E+15,Thane,166,7.55,Successful ,2019,237,F,7.55,37,48,37
5016866,2.02E+15,Thane,154,7,Successful ,2019,237,M,7,46,48,40
5016867,2.02E+15,Thane,190,8.64,Successful ,2019,237,M,8.64,37,45,40
5016868,2.02E+15,Thane,178,8.09,Successful ,2019,237,M,8.09,46,45,49
5016869,2.02E+15,Thane,171,7.77,Successful ,2019,237,F,7.77,47,50,41
5016870,2.02E+15,Thane,181,8.23,Successful ,2019,237,F,8.23,45,48,38
5016871,2.02E+15,Thane,198,9,Successful ,2020,237,M,9,44,45,46
5016872,2.02E+15,Thane,159,7.23,Successful ,2020,237,F,7.23,38,48,43
5016873,2.02E+15,Thane,0,0,Unsuccessful ,2020,237,M,0,37,45,50
5016874,2.02E+15,Thane,186,8.45,Successful ,2020,237,F,8.45,42,47,36
5016875,2.02E+15,Thane,188,8.55,Successful ,2020,237,F,8.55,46,50,44
5016876,2.02E+15,Thane,0,0,Unsuccessful ,2019,237,M,0,38,45,36
5016877,2.02E+15,Thane,202,9.18,Successful ,2019,237,M,9.18,47,49,40
5016878,2.02E+15,Thane,179,8.14,Successful ,2019,237,M,8.14,39,50,46
5016879,2.02E+15,Thane,180,8.18,Successful ,2019,237,F,8.18,37,48,49
5016880,2.02E+15,Thane,207,9.41,Successful ,2019,237,F,9.41,45,46,46
5016881,2.02E+15,Thane,187,8.5,Successful ,2019,237,F,8.5,37,50,45
5016882,2.02E+15,Thane,191,8.68,Successful ,2019,237,M,8.68,44,46,43
5016883,2.02E+15,Thane,147,6.68,Successful ,2018,237,M,6.68,48,47,45
5016884,2.02E+15,Thane,180,8.18,Successful ,2019,237,F,8.18,39,46,38
5016885,2.02E+15,Thane,208,9.45,Successful ,2019,237,M,9.45,46,49,48
5016886,2.02E+15,Thane,202,9.18,Successful ,2019,237,M,9.18,39,45,46
5016887,2.02E+15,Thane,147,6.68,Successful ,2019,237,M,6.68,36,49,43
5016888,2.02E+15,Thane,159,7.23,Successful ,2019,237,M,7.23,38,47,38
5016889,2.02E+15,Thane,196,8.91,Successful ,2020,237,M,8.91,37,48,48
5016890,2.02E+15,Thane,166,7.55,Successful ,2019,237,F,7.55,41,47,49
5016891,2.02E+15,Thane,194,8.82,Successful ,2020,237,F,8.82,36,50,35
5016892,2.02E+15,Thane,124,5.64,Successful ,2018,237,M,5.64,39,49,36
5016893,2.02E+15,Thane,171,7.77,Successful ,2019,237,M,7.77,48,45,42
5016894,2.02E+15,Thane,195,8.86,Successful ,2019,237,M,8.86,46,48,48
5016895,2.02E+15,Thane,176,8,Successful ,2019,237,M,8,37,48,47
5016896,2.02E+15,Thane,196,8.91,Successful ,2020,237,F,8.91,43,48,44
5016897,2.02E+15,Thane,188,8.55,Successful ,2019,237,F,8.55,36,50,36
5016898,2.02E+15,Thane,149,6.77,Successful ,2020,237,F,6.77,35,48,37
5016899,2.02E+15,Thane,0,0,Unsuccessful ,2019,237,M,0,35,48,43
5016900,2.02E+15,Thane,155,7.05,Successful ,2019,237,M,7.05,35,46,50
5016901,2.02E+15,Thane,185,8.41,Successful ,2019,237,M,8.41,45,50,45
5016902,2.02E+15,Thane,185,8.41,Successful ,2019,237,M,8.41,36,45,36
5016903,2.02E+15,Thane,166,7.55,Successful ,2019,237,M,7.55,49,47,49
5016904,2.02E+15,Thane,166,7.55,Successful ,2020,237,M,7.55,37,47,44
5016905,2.02E+15,Thane,199,9.05,Successful ,2019,237,F,9.05,38,50,49
5016906,2.02E+15,Thane,182,8.27,Successful ,2020,237,F,8.27,40,47,45
5016907,2.02E+15,Thane,147,6.68,Successful ,2019,237,M,6.68,45,47,44
5016908,2.02E+15,Thane,168,7.64,Successful ,2020,237,F,7.64,41,47,44
5016909,2.02E+15,Thane,184,8.36,Successful ,2019,237,M,8.36,41,49,45
5016910,2.02E+15,Thane,0,0,Unsuccessful ,2018,237,M,0,47,48,49
5016911,2.02E+15,Thane,193,8.77,Successful ,2019,237,F,8.77,47,48,43
5016912,2.02E+15,Thane,178,8.09,Successful ,2019,237,M,8.09,36,46,41
5016913,2.02E+15,Thane,175,7.95,Successful ,2020,237,M,7.95,46,49,48
5016914,2.02E+15,Thane,143,6.5,Successful ,2017,237,F,6.5,44,48,49
5016915,2.02E+15,Thane,209,9.5,Successful ,2019,237,M,9.5,41,49,48
5016916,2.02E+15,Thane,0,0,Unsuccessful ,2019,237,M,0,50,50,35
5016917,2.02E+15,Thane,155,7.05,Successful ,2019,237,M,7.05,37,45,43
5016918,2.02E+15,Thane,187,8.5,Successful ,2019,237,M,8.5,46,49,38
5016919,2.02E+15,Thane,163,7.41,Successful ,2019,237,M,7.41,50,50,43
5016920,2.02E+15,Thane,164,7.45,Successful ,2020,237,M,7.45,45,45,38
5016921,2.02E+15,Thane,0,0,Unsuccessful ,2019,237,M,0,47,49,36
5016922,2.02E+15,Thane,172,7.82,Successful ,2019,237,M,7.82,42,49,38
5016923,2.02E+15,Thane,144,6.55,Successful ,2020,237,M,6.55,36,46,37
5016924,2.02E+15,Thane,210,9.55,Successful ,2019,237,F,9.55,45,50,41
5016925,2.02E+15,Thane,204,9.27,Successful ,2019,237,F,9.27,39,50,42
5016926,2.02E+15,Thane,153,6.95,Successful ,2019,237,M,6.95,42,45,38
5016927,2.02E+15,Thane,198,9,Successful ,2020,237,F,9,36,50,37
5016928,2.02E+15,Thane,0,0,Unsuccessful ,2018,237,M,0,48,45,37
5016929,2.02E+15,Thane,165,7.5,Successful ,2019,237,M,7.5,38,48,44
5016930,2.02E+15,Thane,187,8.5,Successful ,2020,237,M,8.5,43,46,39
5016931,2.02E+15,Thane,178,8.09,Successful ,2019,237,M,8.09,35,50,43
5016932,2.02E+15,Thane,208,9.45,Successful ,2019,237,F,9.45,43,50,35
5016933,2.02E+15,Thane,207,9.41,Successful ,2019,237,M,9.41,48,48,38
5016934,2.02E+15,Thane,152,6.91,Successful ,2020,237,M,6.91,45,49,39
5016935,2.02E+15,Thane,180,8.18,Successful ,2019,237,M,8.18,50,50,42
5016936,2.02E+15,Thane,158,7.18,Successful ,2019,237,F,7.18,48,47,39
5016937,2.02E+15,Thane,159,7.23,Successful ,2019,237,M,7.23,41,50,47
5016938,2.02E+15,Thane,187,8.5,Successful ,2019,237,M,8.5,50,50,45
5016939,2.02E+15,Thane,162,7.36,Successful ,2019,237,F,7.36,43,46,45
5016940,2.02E+15,Thane,151,6.86,Successful ,2018,237,F,6.86,45,50,38
5016941,2.02E+15,Thane,164,7.45,Successful ,2019,237,M,7.45,37,50,37
5016942,2.02E+15,Thane,168,7.64,Successful ,2020,237,F,7.64,36,47,50
5016943,2.02E+15,Thane,0,0,Unsuccessful ,2018,237,M,0,44,46,47
5016944,2.02E+15,Thane,177,8.05,Successful ,2020,237,F,8.05,46,47,44
5016945,2.02E+15,Thane,170,7.73,Successful ,2019,237,M,7.73,49,50,35
5016946,2.02E+15,Thane,153,6.95,Successful ,2019,237,F,6.95,39,49,39
5016947,2.02E+15,Thane,162,7.36,Successful ,2019,237,F,7.36,38,48,41
5016948,2.02E+15,Thane,165,7.5,Successful ,2018,237,M,7.5,49,47,47
5016949,2.02E+15,Thane,154,7,Successful ,2019,237,M,7,36,49,36
5016950,2.02E+15,Thane,166,7.55,Successful ,2020,237,F,7.55,36,48,47
5016951,2.02E+15,Thane,177,8.05,Successful ,2019,237,F,8.05,40,50,36
5016952,2.02E+15,Thane,191,8.68,Successful ,2019,237,M,8.68,41,49,36
5016953,2.02E+15,Thane,152,6.91,Successful ,2020,237,F,6.91,43,47,46
5016954,2.02E+15,Thane,153,6.95,Successful ,2019,237,M,6.95,48,45,38
5016955,2.02E+15,Thane,184,8.36,Successful ,2019,237,M,8.36,38,46,37
5016956,2.02E+15,Thane,190,8.64,Successful ,2019,237,F,8.64,41,46,35
5016957,2.02E+15,Thane,168,7.64,Successful ,2018,237,F,7.64,39,46,38
5016958,2.02E+15,Thane,214,9.73,Successful ,2019,237,F,9.73,35,47,46
5016959,2.02E+15,Thane,190,8.64,Successful ,2019,237,M,8.64,50,46,39
5016960,2.02E+15,Thane,202,9.18,Successful ,2019,237,F,9.18,49,50,40
5016961,2.02E+15,Thane,190,8.64,Successful ,2019,237,F,8.64,49,47,45
5016962,2.02E+15,Thane,189,8.59,Successful ,2019,237,M,8.59,36,45,44
5016963,2.02E+15,Thane,192,8.73,Successful ,2019,237,M,8.73,42,48,40
5016964,2.02E+15,Thane,187,8.5,Successful ,2019,237,M,8.5,37,47,39
5016965,2.02E+15,Thane,193,8.77,Successful ,2019,237,M,8.77,42,49,40
5016966,2.02E+15,Thane,208,9.45,Successful ,2019,237,M,9.45,49,47,43
5016967,2.02E+15,Thane,169,7.68,Successful ,2019,237,M,7.68,43,48,40
5016968,2.02E+15,Thane,152,6.91,Successful ,2019,237,F,6.91,37,48,43
5016969,2.02E+15,Thane,183,8.32,Successful ,2019,237,M,8.32,40,49,41
5016970,2.02E+15,Thane,164,7.45,Successful ,2019,237,F,7.45,45,46,47
5016971,2.02E+15,Thane,202,9.18,Successful ,2019,237,F,9.18,38,46,42
5016972,2.02E+15,Thane,172,7.82,Successful ,2020,237,F,7.82,40,47,43
5016973,2.02E+15,Thane,209,9.5,Successful ,2020,237,F,9.5,41,48,39
5016974,2.02E+15,Thane,198,9,Successful ,2019,237,F,9,36,46,48
5016975,2.02E+15,Thane,179,8.14,Successful ,2019,237,F,8.14,35,49,38
5016976,2.02E+15,Thane,164,7.45,Successful ,2020,237,F,7.45,49,48,49
5016977,2.02E+15,Thane,189,8.59,Successful ,2019,237,M,8.59,42,46,50
5016978,2.02E+15,Thane,178,8.09,Successful ,2019,237,F,8.09,41,48,50
5016979,2.02E+15,Thane,164,7.45,Successful ,2019,237,M,7.45,35,50,38
5016980,2.02E+15,Thane,190,8.64,Successful ,2019,237,M,8.64,35,47,38
5016981,2.02E+15,Thane,178,8.09,Successful ,2019,237,M,8.09,37,48,48
5016982,2.02E+15,Thane,176,8,Successful ,2019,237,M,8,42,47,38
5016983,2.02E+15,Thane,141,6.41,Successful ,2019,237,M,6.41,40,46,44
5016984,2.02E+15,Thane,210,9.55,Successful ,2019,237,M,9.55,41,49,42
5016985,2.02E+15,Thane,169,7.68,Successful ,2019,237,F,7.68,41,48,49
5016986,2.02E+15,Thane,179,8.14,Successful ,2019,237,M,8.14,36,46,40
5016987,2.02E+15,Thane,196,8.91,Successful ,2019,237,F,8.91,41,50,42
5016988,2.02E+15,Thane,175,7.95,Successful ,2019,237,M,7.95,40,50,37
5016989,2.02E+15,Thane,201,9.14,Successful ,2019,237,F,9.14,41,48,48
5016990,2.02E+15,Thane,193,8.77,Successful ,2019,237,M,8.77,39,45,42
5016991,2.02E+15,Thane,193,8.77,Successful ,2019,237,F,8.77,48,49,41
5016992,2.02E+15,Thane,176,8,Successful ,2020,237,M,8,42,50,36
5016993,2.02E+15,Thane,181,8.23,Successful ,2019,237,F,8.23,45,45,40
5016994,2.02E+15,Thane,198,9,Successful ,2019,237,M,9,37,46,42
5016995,2.02E+15,Thane,176,8,Successful ,2019,237,F,8,35,50,38
5016996,2.02E+15,Thane,159,7.23,Successful ,2020,237,F,7.23,47,48,35
5016997,2.02E+15,Thane,174,7.91,Successful ,2020,237,F,7.91,42,46,36
5016998,2.02E+15,Thane,186,8.45,Successful ,2019,237,M,8.45,40,47,38
5016999,2.02E+15,Thane,186,8.45,Successful ,2019,237,F,8.45,43,48,49
5017000,2.02E+15,Thane,154,7,Successful ,2020,237,M,7,45,50,44
5017001,2.02E+15,Thane,172,7.82,Successful ,2019,237,M,7.82,47,47,44
5017002,2.02E+15,Thane,193,8.77,Successful ,2019,237,F,8.77,42,48,38
5017003,2.02E+15,Thane,202,9.18,Successful ,2019,237,M,9.18,37,45,46
5017004,2.02E+15,Thane,183,8.32,Successful ,2019,237,M,8.32,37,49,35
5017005,2.02E+15,Thane,176,8,Successful ,2019,237,M,8,43,48,36
5017006,2.02E+15,Thane,167,7.59,Successful ,2020,237,M,7.59,40,46,37
5017007,2.02E+15,Thane,184,8.36,Successful ,2019,237,M,8.36,49,50,42
5017008,2.02E+15,Thane,158,7.18,Successful ,2019,237,M,7.18,42,46,36
5017009,2.02E+15,Thane,162,7.36,Successful ,2019,237,M,7.36,49,49,47
5017010,2.02E+15,Thane,150,6.82,Successful ,2019,237,M,6.82,45,46,38
5017011,2.02E+15,Thane,186,8.45,Successful ,2020,237,M,8.45,36,50,44
5017012,2.02E+15,Thane,187,8.5,Successful ,2019,237,F,8.5,50,46,47
